model,n_feats,kernel,C,epsilon,mean_r2,mean_mse,mean_rmse,mean_mae
pca_svr,40,linear,0.5,0.5,0.014864,14.761888,3.841192,2.883297
pca_svr,50,linear,0.5,0.5,0.025693,14.595748,3.819757,2.862159
pca_svr,60,linear,0.5,0.5,0.030945,14.516628,3.809464,2.857543
pca_svr,40,rbf,0.5,0.5,0.041803,14.358873,3.788423,2.836212
pca_svr,50,rbf,0.5,0.5,0.051949,14.203496,3.768204,2.816707
pca_svr,60,rbf,0.5,0.5,0.056551,14.133973,3.759047,2.809097
pca_svr,40,sigmoid,0.5,0.5,-55.060587,827.94983,27.689379,13.584672
pca_svr,50,sigmoid,0.5,0.5,-37.387793,569.703286,23.3932,11.406256
pca_svr,60,sigmoid,0.5,0.5,-30.590306,471.31583,21.345096,10.494018
pca_svr,40,linear,0.5,1.0,0.014919,14.761083,3.841099,2.883299
pca_svr,50,linear,0.5,1.0,0.027976,14.561916,3.815314,2.862045
pca_svr,60,linear,0.5,1.0,0.03263,14.492103,3.806228,2.85571
pca_svr,40,rbf,0.5,1.0,0.042367,14.350304,3.787326,2.838357
pca_svr,50,rbf,0.5,1.0,0.052097,14.201103,3.767901,2.81822
pca_svr,60,rbf,0.5,1.0,0.056466,14.135087,3.7592,2.81089
pca_svr,40,sigmoid,0.5,1.0,-54.744102,823.24163,27.602349,13.562537
pca_svr,50,sigmoid,0.5,1.0,-37.36686,569.437813,23.402024,11.42523
pca_svr,60,sigmoid,0.5,1.0,-30.001799,462.372002,21.129447,10.424875
pca_svr,40,linear,1.0,0.5,0.014279,14.770729,3.842318,2.884328
pca_svr,50,linear,1.0,0.5,0.024917,14.607357,3.82127,2.863357
pca_svr,60,linear,1.0,0.5,0.03007,14.530089,3.811203,2.858779
pca_svr,40,rbf,1.0,0.5,0.043469,14.334524,3.785092,2.831538
pca_svr,50,rbf,1.0,0.5,0.05427,14.16879,3.763552,2.808767
pca_svr,60,rbf,1.0,0.5,0.059998,14.082227,3.752142,2.80105
pca_svr,40,sigmoid,1.0,0.5,-237.558682,3525.188295,57.349272,27.200103
pca_svr,50,sigmoid,1.0,0.5,-168.367289,2514.99939,49.274307,22.857917
pca_svr,60,sigmoid,1.0,0.5,-138.082991,2074.757353,44.801708,20.822778
pca_svr,40,linear,1.0,1.0,0.014626,14.765728,3.84167,2.884353
pca_svr,50,linear,1.0,1.0,0.026847,14.578655,3.817504,2.863681
pca_svr,60,linear,1.0,1.0,0.032443,14.495364,3.806627,2.856961
pca_svr,40,rbf,1.0,1.0,0.045453,14.304441,3.781146,2.831751
pca_svr,50,rbf,1.0,1.0,0.055954,14.143556,3.760193,2.81089
pca_svr,60,rbf,1.0,1.0,0.061884,14.053637,3.748331,2.80095
pca_svr,40,sigmoid,1.0,1.0,-237.165793,3519.310162,57.290731,27.180688
pca_svr,50,sigmoid,1.0,1.0,-167.802943,2506.446339,49.185732,22.836842
pca_svr,60,sigmoid,1.0,1.0,-138.479284,2081.030515,44.867815,20.822628
