model,n_feats,mean_r2,mean_mse,mean_rmse,mean_mae
lr,518,-1.213847,52.767668,6.39471,3.266377
rfe_lr,2,0.003317,21.523694,4.629192,3.184248
rfe_lr,10,0.003793,21.510447,4.627893,3.185691
rfe_lr,25,0.023865,21.06265,4.58025,3.155411
rfe_lr,50,0.040081,20.702645,4.541303,3.126529
rfe_lr,100,0.048336,20.532654,4.522116,3.107017
rfe_lr,200,-0.152709,24.363548,4.922737,3.159556
rfe_lr,300,-0.919834,44.893243,6.108831,3.237642
rfe_lr,400,-1.07376,49.030267,6.265396,3.259096
rfe_lr,500,-1.250698,53.717601,6.432445,3.267552
pca_lr,2,0.000562,21.581114,4.635481,3.192191
pca_lr,10,0.018772,21.194546,4.593376,3.158225
pca_lr,25,0.017849,21.288155,4.598578,3.146754
pca_lr,50,0.0098,21.524573,4.618738,3.118735
pca_lr,100,0.014316,21.44754,4.608634,3.109648
pca_lr,200,-0.483324,34.230191,5.487922,3.172203
pca_lr,300,-0.309314,28.631324,5.251466,3.183264
pca_lr,400,-1.133158,50.849877,6.276599,3.217235
pca_lr,500,-1.118167,50.578589,6.256723,3.251286
kpca_lr,2,-0.000466,21.604725,4.637943,3.193908
kpca_lr,10,-0.146741,25.406276,4.960958,3.214311
kpca_lr,25,-0.713481,40.173995,5.801268,3.224091
kpca_lr,50,-42.360197,1126.885517,18.500295,3.49657
kpca_lr,100,-36.162939,964.872768,17.441603,3.430355
kpca_lr,200,-202.449463,5291.538826,37.739845,3.913538
kpca_lr,300,-140.371718,3663.102795,33.0292,3.824776
kpca_lr,400,-148.502335,3877.678431,33.850205,3.867643
kpca_lr,500,-2052.965378,53539.127582,111.357946,5.625363
iso_lr,2,0.00044,21.582861,4.635719,3.193405
iso_lr,10,0.008763,21.442943,4.618249,3.172002
iso_lr,25,0.015517,21.281174,4.60181,3.162695
iso_lr,50,-0.022381,22.286798,4.694353,3.162178
iso_lr,100,-0.091581,24.043903,4.84605,3.172625
iso_lr,200,-0.280063,28.895137,5.195074,3.21819
iso_lr,300,-0.499758,34.593228,5.529698,3.252039
iso_lr,400,-0.540866,35.517269,5.59932,3.274359
iso_lr,500,-0.655363,38.425661,5.758663,3.298608
