model,n_feats,mean_r2,mean_mse,mean_rmse,mean_mae
rfe_lr,25,0.042627,19.336345,4.392269,3.065217
rfe_lr,50,0.053707,19.121959,4.367289,3.052202
rfe_en,25,-0.001579,20.239838,4.493172,3.140661
rfe_en,50,-0.001549,20.239232,4.493104,3.140617
rfe_pr,25,0.007883,20.042825,4.471424,3.128872
rfe_pr,50,-0.238626,24.864741,4.982105,3.427386
rfe_svr,25,0.043253,19.339132,4.391728,2.964266
rfe_svr,50,0.059398,19.028338,4.355278,2.930894
rfe_kn,25,-0.051262,21.210147,4.600026,3.255725
rfe_kn,50,-0.048568,21.176764,4.59593,3.243841
